lineId	chId	mId	chName	dialogue
L146393	u4645	m308	DR. EMLEE	Oh?
L146392	u4646	m308	LETTY	I have a going-away gesture for you, too.
L146391	u4645	m308	DR. EMLEE	It was just a little going-away gesture.
L146390	u4646	m308	LETTY	OK, good. That's good. Thanks an awful lot for everything, and for coming down here to see me off.
L146389	u4645	m308	DR. EMLEE	So, we'll meet every Tuesday and Friday. And if you have any kind of emergency, you can page me.
L146377	u4646	m308	LETTY	Are you saying I'm through with therapy?
L146376	u4645	m308	DR. EMLEE	I think it's about that time, Letty. The charges against you have been dropped, the drugs have evened out and you seem to be dealing with your life quite well.
L146375	u4646	m308	LETTY	What?
L146374	u4645	m308	DR. EMLEE	Then, you should call.
L146373	u4646	m308	LETTY	I thought about calling, but I want to wait until I know when I'll be out.
L146372	u4645	m308	DR. EMLEE	Have you been in contact with the principal about your job?
L146371	u4646	m308	LETTY	But what I really can't believe is that I'm starting to actually miss work.
L146196	u4645	m308	DR. EMLEE	All I want you to do is think about what's best for you. Really think about it.
L146195	u4646	m308	LETTY	First you tell me to do what I want to, then you tell me to stop.
L146194	u4646	m308	LETTY	I don't want to hear anymore.
L146193	u4645	m308	DR. EMLEE	Drugs can help suppress symptoms. But lots of patients stop taking them when they're on their own because the side effects are so harsh.  And, Michael's condition is often worsened by periods of stress. He's been in and out of...
L146192	u4646	m308	LETTY	Look, I know he's almost through with treatment here. And, he's on medication.
L146191	u4645	m308	DR. EMLEE	Then that's even more reason to listen. Look, schizophrenics tend to withdraw from reality. They experience emotional disturbances that result in personality changes. 
L146190	u4646	m308	LETTY	I don't need a lecture.   I care about Michael.
L146189	u4645	m308	DR. EMLEE	Go ahead and put the guard back up, Letty. But you need to know what you're dealing with.
L146188	u4646	m308	LETTY	I know Michael's a schizophrenic, and Mrs. Hallstrom's manic- depressive, and John Lockyer has episodes of psychosis, and I heard a rumor that you suffer from delusions of grandeur.
L146187	u4645	m308	DR. EMLEE	What about Michael? Do you know the extent of his...
L146186	u4646	m308	LETTY	I'm a grown woman, Dr. Emlee.   I can take care of myself.
L146185	u4645	m308	DR. EMLEE	Well, Letty, this does present a liability issue for the hospital.
L146184	u4646	m308	LETTY	I couldn't really say anything because of that fraternizing rule.
L146117	u4646	m308	LETTY	I miss Beast a lot, too.
L146116	u4645	m308	DR. EMLEE	The question, Letty, is how are you feeling?
L146115	u4645	m308	DR. EMLEE	We'll see about adjusting the dosage if that doesn't clear in the next  How are other things going?
L146114	u4646	m308	LETTY	The medicine's still bothering me. It feels like I have cotton wrapped around my brain.
L146037	u4645	m308	DR. EMLEE	I think in the spirit of group therapy, it's beneficial for each of us to open ourselves up to the others.
L146036	u4646	m308	LETTY	Do we have to talk about this?
L145954	u4646	m308	LETTY	I don't think you understand.    I won't wait.
L145953	u4645	m308	DR. EMLEE	We discourage family visits for the first 48 hours after an emotional trauma like the kind you've experienced.
L145952	u4646	m308	LETTY	I want to see my mother immediately.
L145951	u4645	m308	DR. EMLEE	I apologize for the inconvenience, but I must ask you some...
L145950	u4646	m308	LETTY	What kind of place is this?
L145949	u4646	m308	LETTY	What?
L145948	u4645	m308	DR. EMLEE	Patient.
L145947	u4646	m308	LETTY	Psychologist, therapist, whatever.
L145946	u4645	m308	DR. EMLEE	I'm afraid Lhe's not a doctor.
L145945	u4646	m308	LETTY	Yeah, and a dimple.
L145944	u4645	m308	DR. EMLEE	This doctor, was he tall, with dark hair?
L145943	u4646	m308	LETTY	Well, I don't have hallucinations. Honest.
L145942	u4645	m308	DR. EMLEE	I'm the only doctor making rounds this morning.
L145941	u4645	m308	DR. EMLEE	It's hospital policy...
L145940	u4646	m308	LETTY	I did this already.
L145939	u4645	m308	DR. EMLEE	Hello, Letitia. I'm Dr. Emlee, and I have some questions to ask you...
L146586	u4653	m308	RUTH	I know.    I know.
L146585	u4646	m308	LETTY	I was so sure. I really thought it would work.  We have plans, Ruth.
L146584	u4646	m308	LETTY	I can't.    I can't see him there.
L146583	u4653	m308	RUTH	Do you want to go see him? I'll take you if you want to go.
L146582	u4646	m308	LETTY	But what am I going to do?
L146581	u4653	m308	RUTH	You don't have to make any decisions tonight.
L146580	u4646	m308	LETTY	Oh, Ruthie, what am I going to do?
L146577	u4646	m308	LETTY	I ruined your wedding night.
L146576	u4653	m308	RUTH	You did the right thing.
L146533	u4653	m308	RUTH	That's thanks to all your help.
L146532	u4646	m308	LETTY	I don't think people even noticed. I thought the ceremony was perfect.
L146140	u4646	m308	LETTY	I didn't say...
L146139	u4653	m308	RUTH	What's his name, Letty?
L146135	u4653	m308	RUTH	Oh, no, of course not.
L146134	u4646	m308	LETTY	Do we have to talk wedding details?
L146133	u4653	m308	RUTH	And then the gold scroll or the black Romanesque print?
L146132	u4646	m308	LETTY	Ecru.
L146131	u4653	m308	RUTH	What do you think?
L146130	u4653	m308	RUTH	Mom and I fought for 20 minutes over whether we should go with ecru invitations or brilliant white.
L146129	u4646	m308	LETTY	You're slowing.
L146128	u4653	m308	RUTH	I can hardly wait 'til you're free. Planning the wedding without you has been a disaster.
L146127	u4646	m308	LETTY	That settles it. I'm never leaving.
L146126	u4653	m308	RUTH	Loaned you. And it's only 'til you get out of here.
L146125	u4646	m308	LETTY	I can't believe you finally gave me the shirt.
L145896	u4646	m308	LETTY	I'll be back before you can say souffle.
L145895	u4653	m308	RUTH	Letty, dinner's almost ready.   The souffle...
L145887	u4646	m308	LETTY	No, no. They've got to be Puglia olives, packed in a light brine with a flavor that doesn't overpower the palate.
L145886	u4653	m308	RUTH	It'll be fine.
L145885	u4646	m308	LETTY	Sage, rosemary...  Les Herbes.
L145884	u4653	m308	RUTH	What's all the dreck?
L145881	u4653	m308	RUTH	What's the matter?
L145880	u4646	m308	LETTY	Fuck me.
L145877	u4653	m308	RUTH	What about the souffle?    Has that gone in?
L145876	u4646	m308	LETTY	Paul, can you hand me the olives? Ruth, I need you to, what was it?
L145875	u4653	m308	RUTH	How can I help?
L145855	u4646	m308	LETTY	Do you think I should?
L145854	u4653	m308	RUTH	Go on, Letty. I want to see it on you.
L145845	u4653	m308	RUTH	Look, Mom, I think I've found the dress.
L145844	u4646	m308	LETTY	Hi, Mom.
L145843	u4646	m308	LETTY	Truly.
L145842	u4653	m308	RUTH	Really?
L145841	u4646	m308	LETTY	You look beautiful.
L145840	u4653	m308	RUTH	What about this one?
L145838	u4653	m308	RUTH	Thanks so much for planning it, Letty. Jake's really looking forward to it.
L145837	u4646	m308	LETTY	Everything's ready for tomorrow night--except the artillery.
L145836	u4653	m308	RUTH	What about the engagement party?
L145835	u4646	m308	LETTY	Yeah, everything's under control.
L145834	u4653	m308	RUTH	But everything's OK?
L145833	u4646	m308	LETTY	Things have been kind of stressful lately.
L145831	u4646	m308	LETTY	I'd have to see it on.
L145830	u4653	m308	RUTH	What do you think of this one?
L145829	u4646	m308	LETTY	She said she'd be here at 10.
L145828	u4653	m308	RUTH	Where's the old bag I sometimes call Mommy?
L145778	u4646	m308	LETTY	Yeah, it'll be fun.
L145777	u4653	m308	RUTH	And the party?
L145776	u4646	m308	LETTY	You know what, Ruthie? I better get back to my class, OK?
L145775	u4653	m308	RUTH	Really?
L145774	u4646	m308	LETTY	Maybe, though. Maybe it would work. I could throw you an engagement party maybe.
L145773	u4646	m308	LETTY	Mom and Dad? At dinner together? Are you crazy?
L145772	u4653	m308	RUTH	Please, Letty.
L145771	u4646	m308	LETTY	Oh, wait a minute, now I see where you're going.
L145770	u4653	m308	RUTH	You always throw the best dinner parties, Letty.
L145769	u4646	m308	LETTY	Maybe.
L145768	u4653	m308	RUTH	Maybe if we had them both to dinner or something.
L145767	u4646	m308	LETTY	I'll talk to her, and to Dad, too.  A few wisely-chosen guilt tactics and they'll be ours.
L145766	u4653	m308	RUTH	How?
L145765	u4646	m308	LETTY	Mom won't miss your wedding. She'll come around. I promise she will.
L145764	u4653	m308	RUTH	She says she won't even come if Dad brings Monica.
L145729	u4646	m308	LETTY	Well, my theory is that people can really enjoy math, but they lose interest...
L145728	u4653	m308	RUTH	No, really. Tell me about the promotion.
L145725	u4653	m308	RUTH	There's nothing to tell.
L145724	u4646	m308	LETTY	Just go ahead and tell us.
L145720	u4653	m308	RUTH	Me? Nothing. Tell me more about the job.
L145719	u4646	m308	LETTY	What's up with you?
L146522	u4646	m308	LETTY	Just remember that I love him.
L146521	u4649	m308	MRS. MAYER	Don't be fresh.
L146520	u4646	m308	LETTY	I'm going to take that as an honest effort at being open minded.
L146518	u4646	m308	LETTY	He's been looking everywhere for weeks, Mom.   It's not that easy after you've been locked away.
L146517	u4649	m308	MRS. MAYER	I will, Dear. I promise.  Why McDonald's?
L146516	u4646	m308	LETTY	Michael just got a job.    Couldn't you congratulate him?
L146386	u4646	m308	LETTY	A deal's a deal.
L146385	u4649	m308	MRS. MAYER	Honestly, Letty.
L146383	u4649	m308	MRS. MAYER	Not even if it's something positive?
L146382	u4646	m308	LETTY	Mom, we agreed. You can visit, but you're not allowed to mention Michael.
L146381	u4646	m308	LETTY	I've already made arrangements.
L146380	u4649	m308	MRS. MAYER	I'm so thankful you'll be leaving next week. If you want me to pick you up, I will.
L146379	u4646	m308	LETTY	It's good exercise, Mom.
L146378	u4649	m308	MRS. MAYER	Must you walk so quickly?
L146259	u4646	m308	LETTY	And if I want to smoke, I'll fucking smoke.
L146258	u4649	m308	MRS. MAYER	I'm only looking out for you.
L146257	u4646	m308	LETTY	Mom, look, if I want to dump Paul, I'll dump him. If I want to screw Michael or live with him or marry him, then I'll do that.
L146256	u4649	m308	MRS. MAYER	Don't forget that Paul's a promising young attorney who loves you very much...
L146255	u4646	m308	LETTY	Mom, please.
L146254	u4649	m308	MRS. MAYER	I hear this Michael fellow is schizophrenic.
L146251	u4649	m308	MRS. MAYER	When did you start smoking?
L146250	u4646	m308	LETTY	I haven't had a crush since I was
L146249	u4649	m308	MRS. MAYER	Just think, pretty soon, we'll be doing all these wedding preparations for you.  Of course, if that's what you still want. Ruthie told me some silly story about a crush on some boy here.
L146248	u4646	m308	LETTY	We aren't allowed to wear jewelry in here, Mom.
L146246	u4649	m308	MRS. MAYER	I was thinking either the peach moire or cream damask.
L146245	u4646	m308	LETTY	Oh, OK, well, better to choose the table cloths first anyway.
L146244	u4649	m308	MRS. MAYER	We haven't. I wanted to talk that over with you, too.
L146243	u4646	m308	LETTY	Which flowers did you order?
L146241	u4649	m308	MRS. MAYER	You're looking good.    A little thin, but good.
L146240	u4646	m308	LETTY	You too, Mom.
L146239	u4649	m308	MRS. MAYER	It's so good to see you, Sweetheart.
L146007	u4649	m308	MRS. MAYER	As soon as Dr. Emlee says.
L146006	u4646	m308	LETTY	Tomorrow?
L146005	u4649	m308	MRS. MAYER	I'll see you soon.
L146001	u4649	m308	MRS. MAYER	Paul said he'd call the school.  And your father thinks he's convinced the guard not to press charges as long as you get help.
L146000	u4646	m308	LETTY	And my class. It'll be hard to find a good substitute. And what about my math program?
L145999	u4649	m308	MRS. MAYER	Ruth's already taken him home.
L145998	u4646	m308	LETTY	But what about Beast?   Who'll...?
L145997	u4649	m308	MRS. MAYER	Yes.
L145996	u4649	m308	MRS. MAYER	We all agree with the doctor, Dear. He thinks it's safer for you to stay here for a while.
L145995	u4646	m308	LETTY	Maybe I should talk about this with Ruth, or Paul.
L145994	u4646	m308	LETTY	I just want to go home.   Can we go home now?
L145993	u4649	m308	MRS. MAYER	Everyone says it's the best facility in the area for this sort of thing.
L145992	u4646	m308	LETTY	I'm so glad to see you. You can't believe the people in here. They've got patients posing as doctors...
L145991	u4649	m308	MRS. MAYER	I've talked to Doctor Emlee, and he says...
L145990	u4646	m308	LETTY	Mom, I was there, and I just, I was so... They didn't have the olives, and I, I got so upset. I don't know how it happened.
L145989	u4649	m308	MRS. MAYER	Oh, Letty, what happened?
L145988	u4646	m308	LETTY	I'm sorry. I'm so sorry.
L145987	u4649	m308	MRS. MAYER	I'm here, Sweetheart. I'm here. It's going to be OK.
L145859	u4646	m308	LETTY	Can I get you a glass of champagne?
L145858	u4649	m308	MRS. MAYER	I gather he's late as usual.
L145853	u4649	m308	MRS. MAYER	Especially with a promotion in the offing.
L145852	u4646	m308	LETTY	Mom, please.
L145851	u4649	m308	MRS. MAYER	Paul could pop the question at any time.
L145850	u4646	m308	LETTY	Oh no.
L145848	u4646	m308	LETTY	No, not yet. But you know Paul. He's sure to get it.
L145847	u4649	m308	MRS. MAYER	Has Paul heard about his promotion?
L145736	u4646	m308	LETTY	You've only known Jake a few months.
L145735	u4649	m308	MRS. MAYER	Tell us every detail.
L145733	u4646	m308	LETTY	Wow.   Congratulations.
L145732	u4649	m308	MRS. MAYER	My goodness. A wedding.      My goodness.
L145727	u4646	m308	LETTY	Come on.
L145726	u4649	m308	MRS. MAYER	Are you sure, Dear?
L145718	u4646	m308	LETTY	Not now, but maybe later, if they like the program.
L145717	u4649	m308	MRS. MAYER	Will you get time off to do that?
L145716	u4646	m308	LETTY	I'll be running it three days a week, and...
L145715	u4649	m308	MRS. MAYER	How wonderful, darling.  What does that mean for you?
L146175	u4650	m308	NURSE GATES	I'm glad.
L146174	u4646	m308	LETTY	You've been so great. I just feel a lot clearer about things.
L146173	u4646	m308	LETTY	I guess so. I think that's right.
L146172	u4650	m308	NURSE GATES	You can only do what feels best to you now.
L146168	u4650	m308	NURSE GATES	It's OK.   It's good to let it out.
L146167	u4646	m308	LETTY	I don't mean to go on and on like this.
L146162	u4650	m308	NURSE GATES	I understand you just got engaged. Maybe that's where we should start.
L146161	u4646	m308	LETTY	To talk?  Well, OK, that might be good.
L146160	u4650	m308	NURSE GATES	If you feel lonely, or need to talk, all you have to do is say so.
L146159	u4646	m308	LETTY	Lie?
L146158	u4650	m308	NURSE GATES	I don't know why you feel you have to lie, Letty.
L146157	u4646	m308	LETTY	Mottled really.   Green and red.
L146156	u4650	m308	NURSE GATES	Green spot.
L146155	u4646	m308	LETTY	It had this red spot on its back.
L146153	u4650	m308	NURSE GATES	Sounds awful. I guess we better check it out.
L146152	u4646	m308	LETTY	It's got a green dot on its back. I can't go to sleep with it watching me.
L146151	u4650	m308	NURSE GATES	Yeah?
L146150	u4646	m308	LETTY	There's a spider in my room.
L146149	u4650	m308	NURSE GATES	Letty, you should be in bed.
L145972	u4650	m308	NURSE GATES	Just eat whatever you want. This will give you a chance to meet some people.
L145971	u4646	m308	LETTY	I'm really not that hungry.
L146642	u4647	m308	MICHAEL	You should go.
L146641	u4646	m308	LETTY	I guess I should go now.
L146639	u4647	m308	MICHAEL	I will. And you make sure you take care of yourself.
L146638	u4646	m308	LETTY	Just promise me you'll be OK, OK?
L146637	u4647	m308	MICHAEL	Would that really be such a good idea for either of us?
L146636	u4647	m308	MICHAEL	How about something better?   Like a kiss.
L146635	u4646	m308	LETTY	Don't you have a magic trick or something to make this easier?
L146634	u4647	m308	MICHAEL	That's the best idea I've heard in a long time.
L146633	u4646	m308	LETTY	Maybe we could just run away to Tahiti and live on the beach.
L146632	u4647	m308	MICHAEL	I love you too, Letty.     I love you, too.
L146631	u4646	m308	LETTY	I love you so much.
L146628	u4646	m308	LETTY	I know I don't want to lose you.     I don't think I could stand it.
